,TCGA-00,TCGA-01,TCGA-02,TCGA-03,TCGA-04,TCGA-05,TCGA-06,TCGA-07,TCGA-08,TCGA-09,TCGA-10,TCGA-11,TCGA-12,TCGA-13,TCGA-14,TCGA-15,TCGA-16,TCGA-17,TCGA-18,TCGA-19,TCGA-20,TCGA-21,TCGA-22,TCGA-23,TCGA-24,TCGA-25,TCGA-26,TCGA-27,TCGA-28,TCGA-29,TCGA-30,TCGA-31,TCGA-32,TCGA-33,TCGA-34,TCGA-35,TCGA-36,TCGA-37,TCGA-38,TCGA-39,TCGA-40,TCGA-41,TCGA-42,TCGA-43,TCGA-44,TCGA-45,TCGA-46,TCGA-47,TCGA-48,TCGA-49,TCGA-50,TCGA-51,TCGA-52,TCGA-53,TCGA-54,TCGA-55,TCGA-56,TCGA-57,TCGA-58,TCGA-59,TCGA-60,TCGA-61,TCGA-62,TCGA-63,TCGA-64,TCGA-65,TCGA-66,TCGA-67,TCGA-68,TCGA-69,TCGA-70,TCGA-71,TCGA-72,TCGA-73,TCGA-74,TCGA-75,TCGA-76,TCGA-77,TCGA-78,TCGA-79,TCGA-80,TCGA-81,TCGA-82,TCGA-83,TCGA-84,TCGA-85,TCGA-86,TCGA-87,TCGA-88,TCGA-89,TCGA-90,TCGA-91,TCGA-92,TCGA-93,TCGA-94,TCGA-95,TCGA-96,TCGA-97,TCGA-98,TCGA-99
cg00000000,0.35367665723356584,0.2485580660782393,0.4159590873381714,0.15996757580999196,0.5502830780616322,0.11094528759339801,0.5098966417920571,0.17727037947274454,0.19829047191334442,0.37623678821354994,0.5434668040445325,0.08476376294265023,0.3579287927839609,0.2733207739503824,0.13437614109485027,0.35325485000480755,0.13279012143275798,0.32643436842516804,0.1658104012585459,0.207734214505591,0.26340848808284784,0.39001433036648914,0.15364547000727538,0.30550235119832064,0.203313881265596,0.18387687608823067,0.36782408723548077,0.20209676646387698,0.18633950452881945,0.2835202997539891,0.10039930306621214,0.20772938916523406,0.3096377073595142,0.0443858001226034,0.12457921344554526,0.21100332015818626,0.3581887554246956,0.6522422663601021,0.16226602605678067,0.0694242954698856,0.076848080809821,0.1744335165862888,0.5434537469656785,0.061653913446673224,0.23568650663126414,0.31329412667520323,0.15258331470398612,0.38688633601837824,0.4845897602554896,0.09593877797328496,0.3662241584833629,0.29837284269070247,0.2237663665214278,0.1642916485213648,0.46138582746288664,0.09832146075036968,0.179247512983417,0.34301873259799726,0.2746698380360602,0.4432945779277498,0.13272443189522465,0.4006430877209991,0.32259603850098684,0.2923618255131976,0.11357697325263676,0.34155895722546276,0.16999587395941756,0.8014732049023443,0.13177062408757453,0.12549965919150205,0.3370138954716539,0.03439862200520179,0.15937752033309405,0.2615158445906097,0.2491194021961276,0.0685869246308145,0.45950640724990544,0.5414781386117564,0.26059606181093153,0.06753590748378506,0.04676883497272682,0.12713147658095109,0.3265987258278122,0.11912486541113898,0.10776704550146234,0.32460102630740867,0.21935449118475614,0.30479223202169464,0.403730071467841,0.18412892169781056,0.23447365948588197,0.175068748991844,0.2673316734797696,0.238699744225137,0.32579561073076047,0.4434878606676832,0.3855671372233749,0.09615258168656671,0.2089847738799713,0.16619623428044838
cg00000001,0.22721487350505115,0.47592049646427265,0.11588479103164939,0.1718540724955221,0.24093580883068486,0.19658545353951162,0.15450740124203077,0.3024753876496196,0.2628503990216566,0.17838548982713634,0.07140336869412171,0.36804793518398216,0.16500239921085022,0.6463769483914986,0.5031230845032987,0.40864698504559716,0.3784719386186747,0.4808171104256128,0.45015277145501226,0.31485465592718676,0.3458306244455384,0.5386521682270735,0.30617217969438143,0.14558813424442504,0.4518857472364912,0.35993742481792457,0.06190643377169209,0.2328545928203029,0.19208246644942936,0.5199092769591175,0.22019437403991562,0.13772023575141254,0.47197128618272305,0.1588460545173127,0.059689475270839516,0.34081565965226834,0.30664861826340883,0.2789555071166884,0.3288097857207583,0.40649018963913885,0.32345967824352123,0.18134288505174043,0.11034442080402906,0.06261134174457317,0.3893738659278771,0.22081199239815466,0.17057746068742893,0.06763603384706811,0.20636937130196562,0.35879012288277545,0.316899984774653,0.1365637082251592,0.21708374305025172,0.1363792431986001,0.06373493040686784,0.5785716282335199,0.16737543318713216,0.485750585203021,0.2231288814404552,0.37344884728495387,0.38660756941930585,0.29103929254547434,0.3584957567261279,0.36884852544610003,0.43385584819172346,0.05932432661715326,0.15373830274583952,0.690927168796683,0.04927096831835294,0.18591584017139418,0.2715695031402613,0.3219105263709601,0.48209428949031524,0.319706275524256,0.4916099383257625,0.18417297086710416,0.029392249773945323,0.43832440071116074,0.22019917819165558,0.1272898020531447,0.5623099425360222,0.1351692568264888,0.18926525270317185,0.2788522124309327,0.2584988688589334,0.1713624183536284,0.3902904125361203,0.13884092876465817,0.4659217194194351,0.6157519764816631,0.3073799210471541,0.3116610941567272,0.1347012643177103,0.7239031844967967,0.11910027770778647,0.28538578892011157,0.514309690041867,0.15648979507517,0.26055752603134724,0.13981359053542353
cg00000002,0.388093991336372,0.4641645770320866,0.12845804774166797,0.0552063959733059,0.017279127080126834,0.15924986868506363,0.2667449952728772,0.529692033598347,0.3071017670062408,0.2504805636294226,0.40355832138751585,0.3696214928596068,0.22078097776764183,0.09074148599417395,0.42629856137072764,0.3076570372812911,0.08686886954251043,0.31988267906477214,0.17245945458117015,0.5236077465948994,0.14411306049989406,0.4369016405600799,0.5620366156958401,0.20388080864478686,0.26526006970231497,0.342996453032718,0.3081745146780117,0.07847640863395768,0.20417842853949858,0.46757480171249854,0.22444388214291414,0.5642742600782021,0.45836380319932735,0.22873235215695734,0.19416253232713945,0.11404878475035836,0.11886389807223895,0.22430032560849703,0.1748455929095408,0.23810184430754955,0.43794334939116214,0.3050820962749862,0.4110151238583872,0.23841138620236768,0.30555856203807996,0.22431198667381724,0.22830350418430012,0.601389322500987,0.1861016376343618,0.33223765339141825,0.1535906531023021,0.5895945688191788,0.13601113584966545,0.1452923245069306,0.4696325075583425,0.34705488787399064,0.2243778179558153,0.380680807328598,0.25273846971971753,0.19184179202086682,0.21777087913042306,0.5469541833338392,0.43202781936331336,0.337528941637207,0.2801225539599779,0.20469271636460634,0.19782889115756616,0.42009875160522375,0.0945684310647346,0.0683369109310005,0.37337115119161546,0.18149745939782988,0.4688203508208859,0.4418376196321603,0.27311956524215825,0.4417392325829916,0.45149946593464635,0.5143025110676812,0.19848042283768558,0.05624495924290872,0.013096916111202185,0.4422153449338335,0.2563288233480382,0.12008037150759632,0.2906548683413762,0.248426499061781,0.27311496256388507,0.23103274537339663,0.3977583849607771,0.12280995074610727,0.24431246570620366,0.16905503117317644,0.3630143517577401,0.15939157930324252,0.09801246109614241,0.32587444392919906,0.3065108052415546,0.07671218365016587,0.4728620841435421,0.31570110112731165
cg00000003,0.20630964194203893,0.03867293865424374,0.4168670056078366,0.30526408172006453,0.360409463644948,0.31965237212640535,0.06039203154803854,0.21767561927151582,0.4233910425225104,0.08575359616064851,0.24114210026316804,0.10682136950093098,0.39399743206671656,0.25572263337086576,0.3840811292272226,0.36614580595245383,0.5816434885743039,0.5621775612709531,0.08844444030069641,0.3446235300029249,0.6095654722173228,0.3141309765261968,0.6479463612947148,0.22650191954925245,0.4532267059451018,0.5996218506997747,0.13623186235398355,0.2361379497655822,0.6046614565204121,0.2920487185984639,0.4004222737895427,0.45077109441955576,0.18480186641013244,0.41019293380539773,0.34973434990572005,0.17561919698936396,0.2052622268743936,0.6085560017364287,0.14165877053537307,0.43593946275941003,0.3082365330185971,0.45500639880107346,0.42754908476185066,0.2781861683282088,0.18524055235766115,0.5553171992560851,0.5031820579410835,0.32184672035858475,0.2940375021670958,0.12544938510343312,0.44440125056011115,0.5757688148776429,0.12381086556612016,0.14174247492062755,0.18727519902269188,0.19126728643193613,0.2750086185191396,0.2594732652222252,0.11601733753096195,0.5878548997680135,0.14184427607987107,0.26709409153878366,0.16934940183695033,0.5051295998717548,0.21522630115591282,0.30267928438841163,0.6043368946581595,0.22644282471136645,0.33001023491704745,0.15526763571837746,0.2640383541633144,0.3870555710169233,0.12195815794277094,0.23073436812794024,0.33743284497625053,0.07241046297913235,0.37822073548513974,0.3194343997975769,0.19725972017809695,0.28717210051402103,0.6008221918617068,0.09712260572285623,0.2750073539162113,0.5045933992123101,0.15951835961325392,0.21444346597451258,0.46315732764973994,0.27810240669822206,0.185040538482732,0.11455555890742458,0.4228950555098883,0.6440679634524121,0.3083255266751108,0.4105774245043222,0.19605420588440753,0.13887477350878247,0.09852676123919558,0.36726113123900356,0.5073793345737749,0.2364619685412546
cg00000004,0.4056361401586,0.26490977098893786,0.3808117943964557,0.22533174704489528,0.04515369517060627,0.16436603283956178,0.19143069972773935,0.2616461141449531,0.35639372193893865,0.08073936672491931,0.10845747547886783,0.24552664654232526,0.5453972463065507,0.3355411391283527,0.11193257488627385,0.07861861954219991,0.22324955997792298,0.23934489305310983,0.4691650839986767,0.10930101287827769,0.350841738423868,0.11473327681688954,0.5209560844968074,0.46291911654104495,0.4458084306295856,0.45074564735850964,0.207768701685737,0.5530846398930729,0.2414057853315312,0.35219914462398455,0.5623335554103934,0.066028107172517,0.47801036279397796,0.36195574219105253,0.4016190764260652,0.14476908879022118,0.14853618339714061,0.2673122822770018,0.2665058948831771,0.2016844401116823,0.5191348577625704,0.012576968831467986,0.23005953211192406,0.08916247674529962,0.5437183231209585,0.3380641675028336,0.22099377678765253,0.12232166966906016,0.32715774615691906,0.09997482682028871,0.33759203987394115,0.5828544730774738,0.5490326088038333,0.1444002153105774,0.5397886850088234,0.049103914238015904,0.2269298672078842,0.1507116244682386,0.0397742668078514,0.41995867755191874,0.4703209324057288,0.45932256242566094,0.2928697416440324,0.3253208111970423,0.608299740483025,0.227995917813659,0.3285833899501695,0.188908839828141,0.4759491652842039,0.46195246754850827,0.33552196724204514,0.2913305263540643,0.3010360813901332,0.32719066890772697,0.06764099286707154,0.33280396452018296,0.5689403837780267,0.16873682327409087,0.32347850774297826,0.25951423642259236,0.21073410761815942,0.44543893158488235,0.19252517781702655,0.4215730229751968,0.3147556062634345,0.08917514806890406,0.18139749745536848,0.2888520759798477,0.19122046404901066,0.25463202598101103,0.26260915795931455,0.1868577020761625,0.1235656832485277,0.3590902667010948,0.007247912732123117,0.22541229173963975,0.3682584032090778,0.47005375734757493,0.23340795938545686,0.604550623924786
cg00000005,0.11161825582150756,0.29180063638815756,0.24367885033200437,0.09117290073823889,0.34238261216894417,0.2613583638874165,0.10545421749979744,0.33941958951777684,0.06674404650508572,0.39484478584956023,0.17015973446901886,0.6912093386389426,0.17016504307163668,0.25965807209419905,0.34085924943352575,0.1936145912070428,0.4421189571746821,0.2918146343826823,0.0431616328618451,0.08526285170391149,0.47376583548934953,0.2739533039710695,0.23739520744884943,0.2670788820929144,0.1034879707346583,0.22795113216234186,0.2627333305254055,0.6891140409001313,0.2505649400674639,0.24464969297662237,0.2767384149382149,0.27220512050485735,0.22994845690931623,0.42570532098434083,0.22271118741639412,0.4773689304451496,0.23101298651698982,0.43144353619464987,0.38687976021019077,0.20867813507832503,0.09002499819996725,0.6038569167009646,0.22652332523012098,0.3042970610133372,0.16462586137498683,0.1823972362349482,0.4766491048877699,0.5264086385938195,0.36092031234155697,0.2509553296201303,0.3835316726535463,0.19591171866205373,0.2976150813463317,0.13237350274514814,0.12631168044090502,0.35476652265808534,0.3219807096428471,0.310809260614259,0.22661352635262422,0.3116613226660596,0.17217359051439798,0.041466975212824844,0.2761974130074415,0.09425356031693806,0.4118445340829866,0.5157009792685964,0.6342283268293691,0.27170217319000567,0.16115555595365097,0.3019616530585536,0.24747616586330073,0.2773672197869529,0.47222499596045936,0.21903951367592533,0.25130404126245265,0.13449891422559376,0.2575375190463321,0.5758311543371692,0.17478898807467766,0.4404393990716352,0.23996872315505707,0.4457504855829945,0.41814573239418396,0.12477872464880943,0.4135696874278296,0.08552216071945434,0.10238495285184403,0.22850508874050057,0.5466614162505907,0.35108503224370974,0.13941057604626686,0.05369951548994858,0.3806987361056626,0.2794224044294483,0.3066911814390244,0.34303308364673246,0.47611454437072104,0.2554704259647891,0.5012006017832084,0.15400666296079904
cg00000006,0.06323234040516468,0.44834545888275384,0.10997586339778063,0.29980310270744265,0.5363077304756033,0.06705426999363957,0.3373425781481131,0.06163751556213369,0.2669105924136806,0.014681933127792124,0.09291290127017372,0.16208459011388984,0.05558771864927384,0.3628731421368042,0.32618555306964203,0.5516768599767246,0.10991865606237472,0.21718481039517945,0.07822097883115157,0.1767688055025618,0.5954379734962468,0.39717268660938093,0.1055672064555032,0.031185910555505757,0.027957961979081927,0.36797659433535934,0.159129571300425,0.7380869638355531,0.24369917696780016,0.17097774059130702,0.08072398199878913,0.4477791997522805,0.19735165471552502,0.26147296955370153,0.2791904822094437,0.24924642287697085,0.38880045320267814,0.08983097773481848,0.2393537041475697,0.20045204994057464,0.40099694375353145,0.4674355152035755,0.12791579245418194,0.40373494198452503,0.08948655761560051,0.24781566399063273,0.26449203451846,0.4549932251283338,0.38950793387251037,0.09718177285658083,0.3828986050331805,0.297838427885603,0.5903979088514874,0.17609833187507087,0.2144134952920709,0.6204682337798468,0.48723314496000425,0.09620692451496077,0.24965580347196684,0.34123779909224605,0.4009150563139554,0.11793590761943248,0.5572754113921149,0.06294278801876782,0.12295220654768162,0.5302969759506505,0.2709993961105075,0.27708902751884185,0.301184192228817,0.14014940155761468,0.07373378490111673,0.32915651051709327,0.359768584824016,0.30977747327024047,0.18035041428788406,0.11049325801614986,0.2268526189451653,0.6389059701703222,0.24313915351568324,0.21596804604807857,0.24855717435847977,0.23747045971287373,0.5319284493276698,0.39043892434622446,0.16973758904288572,0.204026175015018,0.25492632671059895,0.28906082696293733,0.14078969013769074,0.18846863488275697,0.5651992012277928,0.5441384134079766,0.20749581324893812,0.1937947313120766,0.39173659785710696,0.0549042835324885,0.513200034727355,0.16801384883050952,0.34984513829632496,0.06470899156806993
cg00000007,0.3992098512519557,0.3602074853627584,0.3368158164406375,0.12566751557557146,0.18674564305294103,0.3090542956810058,0.16110471655100672,0.15601939383489905,0.4891720840330514,0.0405952160464261,0.5013100171730703,0.125480123667906,0.37832624698778555,0.32221290371486117,0.12136225357209524,0.16476671994108208,0.42106902306580285,0.22306564310409913,0.7475416808203147,0.17653263115212867,0.16939987569774237,0.10123676310915995,0.15521976788527783,0.2516719879928031,0.6988438963940432,0.16287619472878653,0.03586107451957101,0.18689261626561332,0.28021975907890234,0.5039853388745347,0.2905356993774629,0.21370325400439458,0.17420404077010232,0.39919600736253635,0.2659319496638474,0.4020401338219225,0.1054043592980552,0.18962207868009487,0.3548328182831716,0.07851743073924757,0.12350488995470801,0.24137784545030638,0.4688543103047804,0.5491671814360513,0.13208665662881736,0.29893631402013454,0.5146805029932751,0.40089713682600786,0.2842255949831302,0.31754411011338207,0.13848346987034896,0.20097123645401038,0.24188964316220724,0.2295611941890383,0.2156860757163646,0.12310958018220286,0.5160624858560737,0.2623139249573352,0.2309942687514944,0.09595128593448145,0.340353357371217,0.15694670027434335,0.1620025771710848,0.19459935313145535,0.3889033363849212,0.3240072686151163,0.05696068686177275,0.5068443274386882,0.30439250526781686,0.2972452247392276,0.1367056096153261,0.44914011712217095,0.25181479605739426,0.16951392607312646,0.08014649270573643,0.23253705235538352,0.4841625365767797,0.1693257626556566,0.07477892700140167,0.18524232349219433,0.16796351370450527,0.2763354949660545,0.13097855154707988,0.1542500262093677,0.08993538353011882,0.3465590425511273,0.16499025374641893,0.1454381844637113,0.451163889216197,0.5292063498589319,0.37717719713879494,0.49771530922633084,0.42318456662924475,0.21733647489695554,0.10549743468741869,0.17711581607683305,0.15601042342477014,0.3583027272484148,0.2382117203777517,0.04443763713492062
cg00000008,0.17743415640634938,0.08105034586883751,0.23325972978998843,0.4563029734443914,0.11099512270858747,0.524107383079782,0.2494485341513156,0.35765966969172464,0.1411241998676989,0.25621935561558057,0.5239791499617252,0.4819498063691885,0.2639644320402215,0.22351415888456408,0.27642704708167387,0.32112925534140707,0.557406885681536,0.16218908617481992,0.15480747939205203,0.20960392282734935,0.10686653718771086,0.36441921405229005,0.06985421523280302,0.5752524381494896,0.28165155884564697,0.37944115369394515,0.045659631002925305,0.3907392159198113,0.32590294062100394,0.3450841502829877,0.23701367390107056,0.4243518655493258,0.12881200099088816,0.3299114686361586,0.06675553056618239,0.10571078303232644,0.5357995621053333,0.15957134377575063,0.12287989871766325,0.30995644773932673,0.5006741240171694,0.19253338124350866,0.6798139772747849,0.16580692395614124,0.44532573170634104,0.28710346659034747,0.20515210248463084,0.3569482999794101,0.08720531597496316,0.23791157291652001,0.2125906368597829,0.3380474712276761,0.29052756084271986,0.3479181328972756,0.42219960770511694,0.24249642318363557,0.3024763373927353,0.5685546252018754,0.29393240112032726,0.23718069472344744,0.4348483136027772,0.24766475341982122,0.5915252921662858,0.49414273786873564,0.19275092244199293,0.21570858057122805,0.4548274324248505,0.43203347294911104,0.4727380263938699,0.2538973946761992,0.28572136176326274,0.2317922806044498,0.23320414628000993,0.16973032592208812,0.49151217411248727,0.33195877515080124,0.34270313402458813,0.47320746037150585,0.057826174727944005,0.3342823374545915,0.5055663733930453,0.10926771693672341,0.47637186210417104,0.3351520189164386,0.31131126560378347,0.31565145210422435,0.13425930596426694,0.04261251654027319,0.44024925150934274,0.1195934956640864,0.2000779313230957,0.7007817975708072,0.2817555447671213,0.34926511547555156,0.18348662812958907,0.5023166737897836,0.06245007841002178,0.4354437700393007,0.0920630148030118,0.6257518883853295
cg00000009,0.37700811694720254,0.1271719790497805,0.27435287356315835,0.38256661568693123,0.17843961982715925,0.2162905367743838,0.5209740341645329,0.279074004926693,0.48498879957497276,0.3481128642195799,0.37769730827879666,0.45526763848906865,0.564636774420852,0.13525495524082082,0.41890629703440113,0.6277239733678208,0.42330626189328024,0.3242865327317485,0.5237323534287259,0.6843643932117193,0.35926527588984386,0.3939614324212918,0.3799956547644613,0.08417433653931046,0.43722711473977127,0.09410779357588527,0.3982612864989766,0.07765506645751091,0.12821245493162958,0.21425064305656616,0.18980885239554654,0.449549690409468,0.23408313613509113,0.10047468691113758,0.1752910699720822,0.31120624590899987,0.30725814341699853,0.31622983906163077,0.4493230296578294,0.4992607592612914,0.37973287476095796,0.25879512048478875,0.21720650202910807,0.6337271424536701,0.3024225452045582,0.35324383153672906,0.19600880118123296,0.19460414633823603,0.12016596269169015,0.2881738348704263,0.19451076843381124,0.22190174670034968,0.49244241405815076,0.08506599782258312,0.17078468035505964,0.3275299415979275,0.3146017534698956,0.5591300431761457,0.05690746574113332,0.5215862971395819,0.11091117446247269,0.22652284530795472,0.08232379528839835,0.02033762111179792,0.515099224706211,0.1524295832997067,0.401561690342304,0.1934741652155991,0.5676055160091945,0.207457529958512,0.24303279275432918,0.16867962259904035,0.11978721348434995,0.4281637369757693,0.2805328520070296,0.025530459181464824,0.5758838933798938,0.24667491342653283,0.12659141193795395,0.07690526282307505,0.13178659947560378,0.34235225040309447,0.4422870444385288,0.22902080143355766,0.8133424050014515,0.20792342426577648,0.26083444259376065,0.10952628416623476,0.25085125200039493,0.46152626905013167,0.6224521206393593,0.3984798933684013,0.058734322284688646,0.09968586243360074,0.05874538677015844,0.14049481279644285,0.18135617969878268,0.12077322769540527,0.3803905055871858,0.11550874706878707
